-1.0149436427f, -0.4710699127f, +0.1370248741f, -0.2918633758f, +0.3018185553f, +0.3999309430f, -0.9299615589f, -0.1768302659f,
-2.1320945992f, +1.1453617105f, -0.6290907610f, -1.2038499740f, -0.2539446834f, -1.4286468646f, -0.0208576177f, -0.5606649965f,
+2.1777787092f, +1.1384653873f, -2.4968865032f, +0.4413269317f, -1.3981378758f, -0.2550551799f, +0.1644040733f, +0.7477340288f,
-0.2730469494f, +1.5763001465f, -0.4809371518f, +0.3275121208f, +0.6647341206f, +0.0851885927f, +0.8809527854f, +0.3232131378f,
-0.7841461837f, -1.8053733514f, +1.8585929486f, -0.6045300888f, +0.1033597223f, +0.5631669551f, +0.1135969967f, -0.9047262128f,
-0.4677145825f, -0.1248899472f, +1.4789584915f, -0.8608156900f, +0.7846684673f, +0.3086231399f, -0.2338600421f, -1.0569727460f,
-0.2841409546f, -0.0866902825f, -1.4693950745f, +0.1921822449f, -0.8222932763f, -0.0942405880f, +0.3362133410f, -0.9046540592f,
-0.2882563612f, +0.3500627575f, -1.8358591425f, +1.0359759082f, +2.4244611449f, +0.9594005094f, -0.3157719950f, +0.4286226799f,
-1.0359847785f, +1.8778654605f, +0.9407044034f, +0.7873457799f, -0.8758742620f, +0.3199491344f, -0.5582942849f, -0.3114294185f,
-0.5700099166f, -1.0257336156f, -0.9087455869f, -0.2098973341f, -1.6988640842f, +0.6076005758f, -0.1177982893f, +0.6991603336f,
+0.2696486417f, +0.4942870554f, -1.4831210225f, -1.0202643857f, -0.4469950107f, +0.1096585913f, +1.1287364520f, -0.2899630408f,
+1.2615507181f, +0.4754248117f, +1.1741167515f, +0.1269470680f, -0.6568159289f, -1.4813990716f, +0.1554889959f, +0.8185513685f,
-0.2925881308f, -0.5407864165f, -0.3086418153f, -1.0965933015f, -0.4930098153f, -0.1807393564f, +0.0458411057f, -0.0637831200f,
+0.6113351941f, +0.1093176938f, +1.8140154503f, +0.3120238283f, +1.8044937717f, -0.7231214796f, +0.5265470377f, -0.2602508617f,
+0.6001425088f, +0.5939307956f, -2.1860216127f, -1.3270431495f, -1.4410135976f, +0.4018444970f, +1.4702012808f, -0.3268142288f,
+0.8123230046f, +0.5455401035f, -1.0516323095f, +0.3974669958f, -0.7518947387f, +1.5162668966f, -0.0325665092f, +1.6359996573f,
-0.4250584906f, +0.5894333667f, -0.0627912257f, -2.0219589301f, -0.9821315258f, +0.6125112982f, -0.0548861300f, -1.1187320025f,
-0.6263785389f, +0.2495177406f, -0.9930190065f, +0.9749502248f, -0.6407095067f, +1.8088626205f, -1.0798662507f, +0.1991894441f,
-1.5210265618f, -0.7236311253f, -0.5932503150f, +0.4013363398f, +0.9421333192f, +0.3004859676f, -0.3730706586f, +0.8154885081f,
+0.7988869922f, +0.1202052820f, +0.5712476297f, +0.4127960103f, -0.9869618834f, +0.7595683259f, -0.6572012991f, -0.6039184814f,
+0.1769468223f, -0.3075034699f, -0.1318203529f, +0.5953576739f, +1.0468327843f, -0.1979586326f, +0.3276781639f, -0.2383015046f,
+0.2295968932f, +0.4399979048f, -0.6168659289f, +0.2748367869f, +0.6011020325f, +0.0923079512f, +1.7298413916f, -0.6085574447f,
-0.7370597717f, -1.7498793064f, +0.9104825796f, +0.8670825529f, -0.0798928391f, +0.8984759894f, +0.1837034231f, +0.2907901349f,
+0.1129447170f, +0.4399521889f, +0.1016624437f, +2.7873352278f, -1.1666650302f, -1.8542990827f, -1.1406811447f, -1.0933434562f,
-0.4336092965f, -0.1684698783f, -0.2185335600f, +0.5413344357f, +0.3892662038f, +0.7512289847f, +1.7782558993f, +1.2230625517f,
